,SetName,Pieces,USRetailPrice,Availability
195,Crane Truck,1877,149.99,Retail
196,Crawley's Claw Ripper,139,14.99,Retail
197,Creative Animals,25,14.99,Retail
198,Creative Ice Cream,24,14.99,Retail
199,Creator Bucket,500,10,Retail
200,Creator Bucket,500,10,Retail
201,Croc Chomp,105,14.99,Retail
202,Curves & Crossroad,2,14.99,Retail
203,Cyberman Fun Pack,40,14.99,Retail
204,Cyborg Fun Pack,50,14.99,Retail
205,Daffodils,216,14.99,Retail
206,Daffodils,216,14.99,Retail
207,Dark Side Developer Kit,578,100,Retail
208,Darth Vader Mech,139,15.99,Retail
209,Darth Vader's Castle,1060,129.99,Retail
210,Deep Sea Creatures,230,14.99,Retail
211,Deep Sea Diver,9,1.99,Retail
212,Deep Sea Exploration Vessel,717,119.99,Retail
213,Deep-Sea Explorer Submarine,842,109.99,Retail
214,Deluxe Train Set,134,109.99,Retail
215,Demolition Dummy,6,1.99,Retail
216,Desert Attack,57,10.99,Retail
217,Desert Challenge,144,14.99,Retail
218,Destiny's Bounty,1781,129.99,Retail
219,Diagon Alley Shops,80,10,Retail
220,Diddy Kong's Mine Cart Ride,1157,109.99,Retail
221,Dieselnaut,1179,109.99,Retail
222,Dino Explorer,88,14.99,Retail
223,Dino Head Attack,94,10,Retail
224,Dirt Crusher RC,88,140,Retail
225,Disco Dude,6,1.99,Retail
226,Disney's Mickey Mouse,2658,119.99,Retail
227,Display Team Jet,113,12.99,Retail
228,Doc Brown Fun Pack,69,14.99,Retail
229,Dom's Dodge Charger,1077,119.99,Retail - limited
230,Double-Decker Couch,197,14.99,Retail
231,Dragon Dueler,94,12.99,Retail
232,Dragon Pit,1660,129.99,Retail
233,Dragon Stone Shrine,1212,119.99,Retail
234,Draida Bay,101,14.99,Retail
235,Drilldozer,61,12.99,Retail
236,Droid Tri-Fighter,148,15,Retail
237,Dry Bowser Castle Battle,1321,109.99,Retail
238,Dump Truck,177,12.99,Retail
239,Dune Buggy,147,12.99,Retail
240,Dune Hopper,137,12.99,Retail
241,Durrr Burger,193,14.99,Retail
242,Dusty and Chug,16,14.99,Retail
243,E.T. Fun Pack,42,11.99,Retail
244,EVE & WALL-E,155,14.99,Retail
245,Ekimu the Mask Maker,94,14.99,Retail
246,Electric Car and Charger,170,15.99,Retail
247,ElectroMech,153,14.99,Retail
248,Elemental Dragon vs. The Empress Mech,1038,129.99,Retail
249,Elite Clone Trooper & Commando Droid Battle Pack,98,12.99,Retail
250,Elite Praetorian Guard Battle Pack,109,14.99,Retail
251,Elsa and the Nokk's Ice Stable,53,14.99,Retail
252,Elsa's Frozen Treats,82,15.99,Retail
253,Elvis Presley  'The King',3445,119.99,Retail
254,Emily Jones & the Eagle Getaway,149,14.99,Retail
255,Emirates Team New Zealand AC75 Yacht,962,119.99,Retail
256,Emma's Deluxe Bedroom,183,14.99,Retail
257,Emma's Sports Car,159,14.99,Retail
258,Emmet,113,14.99,Retail - limited
259,Emmet Fun Pack,55,14.99,Retail
260,Emmet's Thricycle!,174,14.99,Retail
261,Empire State Building,1767,129.99,Retail - limited
262,Endor Rebel Trooper & Imperial Trooper Battle Pack,77,12.99,Retail
263,Enzo Ferrari 1:10,1360,100,Retail
264,Epic Dragon Battle,915,119.99,Retail
265,Eris Fun Pack,59,14.99,Retail
266,Ewok Attack,121,13,Retail
267,Excalibur Batman Fun Pack,57,14.99,Retail
268,Exo Force Bike,101,10,Retail
269,Exo Raider,94,10,Retail
270,Exo Stealth,81,10,Retail
271,Explorer,8,1.99,Retail
272,Extreme Power Bike,98,10,Retail
273,Extreme Wheelie,87,12.99,Retail
274,F1 Driver with McLaren Race Car,86,12.99,Retail
275,FLYER Beast vs. BREEZ,91,14.99,Retail
276,FROST BEAST,60,12.99,Retail
277,FURNO,56,12.99,Retail
278,FURNO Jet Machine,79,14.99,Retail
279,Family Holiday Beach Resort,1140,129.99,Retail
280,Family Reunion Celebration,1823,129.99,Retail
281,Fangz,55,12.99,Retail
282,Fans' Grandstand with Scoreboard,81,15,Retail
283,Fantastic Flyers and Cool Cars,257,15,Retail
284,Fantastical Tree House,1257,109.99,Retail
285,Fantasy Forest Creatures,175,14.99,Retail
286,Farm Brick Box,232,14.99,Retail
287,Farran and the Crystal Hollow,175,14.99,Retail
288,Fast,69,12.99,Retail
289,Fender Stratocaster,1074,119.99,Retail - limited
290,Ferrari 488 GT3 Scuderia Corsa,179,14.99,Retail
291,Ferrari 599 GTB Fiorano 1:10,1327,109.99,Retail
292,Ferrari F1 Racer,113,15,Retail
293,Ferrari F1 Racer 1:8,1246,139.99,Retail
294,Ferrari F1 Racers,139,14.99,Retail
295,Ferrari F40 Competizione,198,14.99,Retail
296,Field Expander,49,15,Retail
297,Fierce Creatures,193,12.99,Retail
298,Fierce Flyer,166,14.99,Retail
299,Final Flight of Destiny's Bounty,1253,119.99,Retail
300,Fire Attack,24,1.95,Retail
301,Fire Boat,19,14.99,Retail
302,Fire Chief Car,80,11.99,Retail
303,Fire Crusher,65,10,Retail
304,Fire Spinner 360,113,10,Retail
305,Fire Temple,1174,119.99,Retail
306,First Aid Jungle Bike,156,14.99,Retail
307,First Order Battle Pack,88,12.99,Retail
